model_name,inchi,smiles,excited,multiplicity,lumped,stereochemistry
CH3COCH2O,"InChI=1S/C3H5O2/c1-3(5)2-4/h2H2,1H3",CC(C[O])=O,0,0,0,1
C2H4OCHO,"InChI=1S/C3H5O2/c1-3(5)2-4/h2-3H,1H3",CC(C=O)[O],0,0,0,1
C3H5-SOOH,"InChI=1S/C3H6O2/c1-2-3-5-4/h2-4H,1H3",CC=COO,0,0,0,1
IC3H5Q,"InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3",C=C(C)OO,0,0,0,1
C3KET21,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3",CC(COO)=O,0,0,0,1
C3KET12,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3",CC(C=O)OO,0,0,0,1
C3KET13,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2",O=CCCOO,0,0,0,1
C2H3CHO,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",C=CC=O,0,0,0,1
C3H4-A,InChI=1S/C3H4/c1-3-2/h1-2H2,C=C=C,0,0,0,1
C2H3CO,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2",C=C[C]=O,0,0,0,1
C2H5CO,"InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3",CC[C]=O,0,0,0,1
CH3OCHCH2,"InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3",C=COC,0,0,0,1
SC3H5OH,"InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3",CC=CO,0,0,0,1
CJCYCCO,"InChI=1S/C3H5O/c1-3-2-4-3/h3H,1-2H2",[CH2]C1OC1,0,0,0,1
CCYCCJO,"InChI=1S/C3H5O/c1-3-2-4-3/h2-3H,1H3",CC1O[CH]1,0,0,0,1
CCYCCO-T1,"InChI=1S/C3H5O/c1-3-2-4-3/h2H2,1H3",C[C]1OC1,0,0,0,1
CH3CHCHO,"InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3",C[CH]C=O,0,0,0,1
CH2CH2CHO,"InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2",[CH2]CC=O,0,0,0,1
CH3CHCO,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3",CC=C=O,0,0,0,1
CH3COCH2,"InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3",C=C(C)[O],0,0,0,1
CH2CHOCH2,"InChI=1S/C3H5O/c1-3-4-2/h3H,1-2H2",C=CO[CH2],0,0,0,1
CC3H6,InChI=1S/C3H6/c1-2-3-1/h1-3H2,C1CC1,0,0,0,1
C3H5-T,"InChI=1S/C3H5/c1-3-2/h1H2,2H3",C=[C]C,0,0,0,1
C3H5-S,"InChI=1S/C3H5/c1-3-2/h1,3H,2H3",[CH]=CC,0,0,0,1
C3H4-P,"InChI=1S/C3H4/c1-3-2/h1H,2H3",C#CC,0,0,0,1
SC3H5OO,"InChI=1S/C3H5O2/c1-2-3-5-4/h2-3H,1H3",CC=CO[O],0,0,0,1
CH3CCHO,"InChI=1S/C3H4O/c1-2-3-4/h3H,1H3",C[C]C=O,0,0,0,1
CH2CHOCHO,"InChI=1S/C3H4O2/c1-2-5-3-4/h2-3H,1H2",C=COC=O,0,0,0,1
CH3COCHO,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",CC(C=O)=O,0,0,0,1
TC3H5OO,"InChI=1S/C3H5O2/c1-3(2)5-4/h1H2,2H3",C=C(C)O[O],0,0,0,1
CH2CCO,InChI=1S/C3H2O/c1-2-3-4/h1H2,C=C=C=O,0,0,0,1
CH2COCH2,InChI=1S/C3H4O/c1-3(2)4/h1-2H2,C=C([CH2])[O],0,0,0,1
CH3COCH,"InChI=1S/C3H4O/c1-3(2)4/h1H,2H3",[CH]=C(C)[O],0,0,0,1
CH2CHOCO,"InChI=1S/C3H3O2/c1-2-5-3-4/h2H,1H2",C=CO[C]=O,0,0,0,1
CH2CHCHOH,"InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2",C=C[CH]O,0,0,0,1
AC4H7OOH,"InChI=1S/C4H8O2/c1-3-4-6-5-2/h3H,1,4H2,2H3",C=CCOOC,0,0,0,1
C3H5OH,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",C=CCO,0,0,0,1
IC3H5OH,"InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3",C=C(C)O,0,0,0,1
C3H6OH1-2,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3",C[CH]CO,0,0,0,1
C3H6OH2-1,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3",[CH2]C(C)O,0,0,0,1
C3H4O1-2,InChI=1S/C3H4O/c1-3-2-4-3/h1-2H2,C=C1OC1,0,0,0,1
PC3H4OH-2,"InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3",C[C]=CO,0,0,0,1
CH2CCH2OH,"InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2",C=[C]CO,0,0,0,1
C3H5O31,"InChI=1S/C3H5O3/c1-3(2-4)6-5/h4H,1-2H2",C=C(CO)O[O],0,0,0,1
HOCH2CO,"InChI=1S/C2H3O2/c3-1-2-4/h3H,1H2",OC[C]=O,0,0,0,1
C3H5O32,"InChI=1S/C3H5O3/c1-3(2-4)6-5/h5H,1-2H2",C=C(C[O])OO,0,0,0,1
SC3H4OH,"InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2",C=C([CH2])O,0,0,0,1
CH2COHCH2O,"InChI=1S/C3H5O2/c1-3(5)2-4/h5H,1-2H2",C=C(C[O])O,0,0,0,1
CH2COHCH2OOH,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2",C=C(COO)O,0,0,0,1
CH2COHCHO,"InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2",C=C(C=O)O,0,0,0,1
SC2H2OH,"InChI=1S/C2H3O/c1-2-3/h3H,1H2",C=[C]O,0,0,0,1
CH2COOHCH2,"InChI=1S/C3H5O2/c1-3(2)5-4/h4H,1-2H2",C=C([CH2])OO,0,0,0,1
CH2CCH2OOH,"InChI=1S/C3H5O2/c1-2-3-5-4/h4H,1,3H2",C=[C]COO,0,0,0,1
CH2CHCH2OO,"InChI=1S/C3H5O2/c1-2-3-5-4/h2H,1,3H2",C=CCO[O],0,0,0,1
CCY(CCOO),"InChI=1S/C3H5O2/c1-3-2-4-5-3/h3H,1-2H2",[CH2]C1OOC1,0,0,0,1
CY(CCCOO),"InChI=1S/C3H5O2/c1-2-4-5-3-1/h1H,2-3H2",[CH]1COOC1,0,0,0,1
CY(CCO)CO,"InChI=1S/C3H5O2/c4-1-3-2-5-3/h3H,1-2H2",[O]CC1OC1,0,0,0,1
CH2COOCH2OOH,"InChI=1S/C3H5O4/c1-3(7-5)2-6-4/h4H,1-2H2",C=C(COO)O[O],0,0,0,1
CH2COOHCH2OO,"InChI=1S/C3H5O4/c1-3(7-5)2-6-4/h5H,1-2H2",C=C(CO[O])OO,0,0,0,1
CH2COOHCHO,"InChI=1S/C3H4O3/c1-3(2-4)6-5/h2,5H,1H2",C=C(C=O)OO,0,0,0,1
CH2COCHO,"InChI=1S/C3H3O2/c1-3(5)2-4/h2H,1H2",[CH2]C(C=O)=O,0,0,0,1
CH2COOHCH2OOH,"InChI=1S/C3H6O4/c1-3(7-5)2-6-4/h4-5H,1-2H2",C=C(COO)OO,0,0,0,1
CH2COOHCHOH,"InChI=1S/C3H5O3/c1-3(2-4)6-5/h2,4-5H,1H2",C=C([CH]O)OO,0,0,0,1
C3H4O21-2,"InChI=1S/C3H4O2/c1-2-3(4)5-2/h3-4H,1H2",C=C1OC1O,0,0,0,1
C2HCHO,"InChI=1S/C3H2O/c1-2-3-4/h1,3H",C#CC=O,0,0,0,1
C3H2(S),InChI=1S/C3H2/c1-3-2/h1-2H,C#C[CH],0,1,0,1
C3H2,InChI=1S/C3H2/c1-3-2/h1-2H,C#C[CH],0,3,0,1
CC3H4,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",C1CC=1,0,0,0,1
C4H4,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",C#CC=C,0,0,0,1
CH3CCO,InChI=1S/C3H3O/c1-2-3-4/h1H3,C[C]=C=O,0,0,0,1
C3H3O,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2",C=[C]C=O,0,0,0,1
CH3COH,"InChI=1S/C2H4O/c1-2-3/h3H,1H3",C[C]O,0,0,0,1
CH3C(OH)CH,"InChI=1S/C3H5O/c1-3(2)4/h1,4H,2H3",[CH]=C(C)O,0,0,0,1
PC3H4OH-1,"InChI=1S/C3H5O/c1-2-3-4/h2,4H,1H3",CC=[C]O,0,0,0,1
C3H2C,InChI=1S/C3H2/c1-2-3-1/h1-2H,C1=C=C1,0,0,0,1
C4H3-N,InChI=1S/C4H3/c1-3-4-2/h1-3H,[CH]=CC#C,0,0,0,1
C3H3O2H,"InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2",C=C=COO,0,0,0,1
H2CCC(S),InChI=1S/C3H2/c1-3-2/h1H2,C=C=[C],0,0,0,1
C4H5-2C2H,"InChI=1S/C6H6/c1-4-6(3)5-2/h1,5H,2-3H2",C#CC(=C)C=C,0,0,0,1
FULVENE,"InChI=1S/C6H6/c1-6-4-2-3-5-6/h2-5H,1H2",C=C1C=CC=C1,0,0,0,1
CHCCH2CH2CHCH2,"InChI=1S/C6H8/c1-3-5-6-4-2/h1,4H,2,5-6H2",C#CCCC=C,0,0,0,1
CH2CCHCH2CHCH2,"InChI=1S/C6H8/c1-3-5-6-4-2/h3,6H,1-2,5H2",C=CCC=C=C,0,0,0,1
C6H6,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,C1=CC=CC=C1,0,0,0,1
C6H5,InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H,C1[CH]C=C=CC=1,0,0,0,1
CH2OOHCHCO,"InChI=1S/C3H4O3/c4-2-1-3-6-5/h1,5H,3H2",O=C=CCOO,0,0,0,1
CH2OCHCO,"InChI=1S/C3H3O2/c4-2-1-3-5/h1H,2H2",[O]CC=C=O,0,0,0,1
C3H6OH1-3,"InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2",[CH2]CCO,0,0,0,1
C3H6OH1-1,"InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3",CC[CH]O,0,0,0,1
TQJC3H6OH,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3",CC(CO)O[O],0,0,0,1
C3H6OH-1O2,"InChI=1S/C3H7O3/c1-2-3(4)6-5/h3-4H,2H2,1H3",CCC(O)O[O],0,0,0,1
C3H6OH-3O2,"InChI=1S/C3H7O3/c4-2-1-3-6-5/h4H,1-3H2",OCCCO[O],0,0,0,1
TQC3H6OI,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3,5H,2H2,1H3",CC(C[O])OO,0,0,0,1
QC3H5OHP,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2",[CH2]C(CO)OO,0,0,0,1
TQC3H5OHI,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3",CC([CH]O)OO,0,0,0,1
CY(COC)COH,"InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2",OCC1OC1,0,0,0,1
CCY(COC)OH,"InChI=1S/C3H6O2/c1-2-3(4)5-2/h2-4H,1H3",CC1OC1O,0,0,0,1
QC3H5OHPO2,"InChI=1S/C3H7O5/c4-1-3(8-6)2-7-5/h3-4,6H,1-2H2",OCC(CO[O])OO,0,0,0,1
C3H4OHOOH1-3-2,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h4-5H,1-2H2",C=C(CO)OO,0,0,0,1
C3H4OH1KT2-3,"InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h4,6H,1-2H2",OCC(COO)=O,0,0,0,1
C3H6OH-3OOH-1,"InChI=1S/C3H7O3/c4-2-1-3-6-5/h2,4-5H,1,3H2",O[CH]CCOO,0,0,0,1
C3H6OH-3OOH-1O2,"InChI=1S/C3H7O5/c4-3(8-6)1-2-7-5/h3-5H,1-2H2",OC(CCOO)O[O],0,0,0,1
C3OHKET3-1,"InChI=1S/C3H6O4/c4-2-1-3(5)7-6/h2-3,5-6H,1H2",O=CCC(O)OO,0,0,0,1
TC3H6OH,"InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3",C[C](C)O,0,0,0,1
IQJC3H6OH,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3",CC(CO[O])O,0,0,0,1
IQC3H5OHPJC,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h4-5H,2H2,1H3",C[C](COO)O,0,0,0,1
IQC3H6OT,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3,5H,2H2,1H3",CC(COO)[O],0,0,0,1
IQC3H5OHPJ,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-5H,1-2H2",[CH2]C(COO)O,0,0,0,1
C(OH)CY(COC),"InChI=1S/C3H6O2/c1-3(4)2-5-3/h4H,2H2,1H3",CC1(O)OC1,0,0,0,1
CY(CCOC)OH,"InChI=1S/C3H6O2/c4-3-1-5-2-3/h3-4H,1-2H2",OC1COC1,0,0,0,1
CHOCOHCH3,"InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3",CC(C=O)O,0,0,0,1
TQC3H5OHIO2,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-5H,1H3",CC(C(O)O[O])OO,0,0,0,1
TQC3H5OHIQ-I,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-3,5-6H,1H3",CC(C([O])OO)OO,0,0,0,1
